svmrbf-r6d300,svmrbf-ckd,svmrbf-r8d300,xgb-ckd,svmrbf-r9d300,xgb-fp4c,svmrbf-r7d300,svmrbf-ckdext,label
0.041708042,0.028863282,0.033343572,4.94E-05,0.034621983,0.02326721,0.052777818,0.082267436,1
0.076351054,0.036950019,0.068150895,0.026762903,0.067996585,0.001301527,0.078144957,0.031161647,1
0.069551815,0.020097818,0.063104611,0.004978061,0.062936382,0.002315402,0.071609697,0.016116419,1
0.079587567,0.030730068,0.06856198,0.009795427,0.06842565,0.00011456,0.081060419,0.029413432,1
0.051493603,0.032232633,0.048868565,0.007267654,0.049041864,0.000894606,0.054422818,0.033336344,1
0.001345907,0.00663033,0.001562412,0.000376701,0.00159753,0.000200212,0.00172572,0.006235435,1
0.839498907,0.770215461,0.856928934,0.9371097,0.85916477,0.21771222,0.849238654,0.898189362,1
0.015680138,0.013985036,0.01317982,0.00041455,0.01332479,0.001181901,0.01913934,0.009983774,1
0.081766317,0.015569951,0.051187238,9.24E-05,0.051802034,0.15571529,0.092216183,0.017007144,1
0.055139768,0.008499308,0.076790966,0.000339031,0.073832344,0.001298666,0.065255667,0.076235984,1
0.157146522,0.242838936,0.144162363,0.051926732,0.14060732,0.3635285,0.118022806,0.186309268,1
0.696783144,0.27666828,0.657812405,0.7967042,0.65925335,0.7243933,0.665698774,0.471742164,1
0.067022081,0.308025663,0.053307237,0.44943875,0.052542037,0.018958092,0.071241944,0.41870042,1
0.21304483,0.297903986,0.279138053,0.047508717,0.278899136,0.19468498,0.169864043,0.316976626,1
0.026026349,0.052638835,0.0388486,0.10069907,0.040510567,0.18723243,0.025211544,0.172209616,1
0.249975789,0.308349207,0.256062623,0.65429527,0.265485118,0.4984231,0.216926523,0.552738376,1
0.002961652,0.08457827,0.00209423,0.005453825,0.00198361,0.00631243,0.001655795,0.05282634,1
0.51626616,0.451635353,0.445718183,0.676703,0.431351168,0.12762493,0.489428376,0.603874796,1
0.904569584,0.950216322,0.924983577,0.9936188,0.926919224,0.99634564,0.901376788,0.98255343,1
0.054341548,0.124435752,0.0452181,0.46225083,0.044443835,0.10021049,0.056977572,0.334067753,1
0.723130117,0.787969237,0.727849641,0.9326261,0.728430658,0.8606006,0.718821115,0.758877081,1
0.778895104,0.207018223,0.795681083,0.42657673,0.795495786,0.50795424,0.785869117,0.528199867,1
0.09728883,0.158627774,0.089457444,0.020855248,0.088762901,0.31638837,0.101196117,0.104630092,1
0.957851262,0.819402002,0.947760635,0.9092307,0.948862442,0.9865451,0.955070142,0.668010341,1
0.157916482,0.606756507,0.225576341,0.78268605,0.226477811,0.6416904,0.209350455,0.470554656,1
0.753135156,0.461724681,0.803544993,0.5993649,0.812861805,0.92330456,0.769399749,0.400058559,1
0.18732326,0.569814177,0.20730615,0.8436359,0.211399629,0.8483873,0.210463216,0.478484228,1
0.352696311,0.639814641,0.306874241,0.8711975,0.320669529,0.18531924,0.386668137,0.537993211,1
0.13173286,0.198666508,0.174190048,0.43583834,0.180551919,0.659571,0.126683524,0.145075886,1
0.235821176,0.129448101,0.239160326,0.044395387,0.234604743,0.9382515,0.247061625,0.150960192,1
0.051676678,0.057455175,0.046303312,0.003451407,0.047056138,0.008433819,0.045929504,0.061957023,1
0.089525892,0.039619843,0.062567356,0.01533109,0.061468066,0.013668418,0.088785518,0.063896952,1
0.481058855,0.304501036,0.546503918,0.32132542,0.553680101,0.6017175,0.473511664,0.351657172,1
0.178764992,0.450061126,0.133397445,0.9559891,0.129794479,0.021952808,0.144714052,0.364370759,1
0.214071746,0.386045319,0.288839216,0.961509,0.29534505,0.3459245,0.267008243,0.312336693,1
0.097447569,0.154216194,0.085039883,0.02934885,0.084131216,0.026557446,0.099144045,0.155078175,1
0.011052694,0.060834417,0.015648021,0.00090313,0.016173304,0.002313733,0.010543426,0.063884185,1
0.463636143,0.54154021,0.488908307,0.3162824,0.487648843,0.6522485,0.491143035,0.197223702,1
0.334659027,0.505141407,0.325970286,0.05895573,0.337874098,0.9935013,0.363469879,0.762619284,1
0.240818135,0.205038106,0.229598285,0.12275946,0.193812747,0.70450497,0.207333842,0.149061155,1
0.727468561,0.316277932,0.635009922,0.5724845,0.635428174,0.7193712,0.685612128,0.452535313,1
0.820994846,0.604366071,0.790881632,0.692039,0.789217071,0.6354307,0.826578893,0.491197119,1
0.454333043,0.598739617,0.449571381,0.5257547,0.452550174,0.4733655,0.477253596,0.553947087,1
0.074996733,0.212214817,0.098386736,0.045645535,0.10291502,0.9510319,0.093660899,0.336303566,1
0.228128703,0.440163783,0.257041269,0.6883236,0.274661308,0.46668822,0.230597958,0.319214342,1
0.055751843,0.051274369,0.150526148,0.049881577,0.144696339,0.1139372,0.08487009,0.070501035,1
0.319753493,0.145441614,0.306430348,0.019509614,0.309303978,0.1034925,0.344490766,0.133806938,1
0.064026707,0.649506486,0.061216754,0.9440834,0.064415266,0.66111445,0.046910161,0.609977861,1
0.032238827,0.115849612,0.018659756,0.03814727,0.01884821,0.055930912,0.02452066,0.141280017,1
0.262021589,0.045821741,0.332109929,0.02069068,0.333900103,0.020544052,0.296161224,0.046121246,1
0.653737176,0.766889177,0.782948153,0.96726537,0.788719026,0.97332466,0.695545582,0.800959041,1
0.4059698,0.376211748,0.349176902,0.06909537,0.341035081,0.79700226,0.384758687,0.435334309,1
0.492346941,0.009549242,0.419542664,0.000597358,0.41393914,0.1490274,0.488777167,0.009238598,1
0.031320469,0.022890927,0.034676857,0.000138879,0.034155313,0.013089716,0.038664111,0.040331615,1
0.065820709,0.018964244,0.0789025,0.003212094,0.07904682,0.022085786,0.064212057,0.05330901,1
0.306863833,0.196944266,0.533234869,0.087887764,0.530461244,0.310463,0.283197747,0.249266181,1
0.443296106,0.301323624,0.676203597,0.30370724,0.66062993,0.37604833,0.419452068,0.298727843,1
0.006762745,0.003875948,0.006904789,2.38E-07,0.007015569,3.78E-05,0.006295421,0.024740787,1
