name,cls
CS(=O)(=O)C1=C(C(=CC(=N1)C2=CC=CC=C2)C3=CC=CC=C3)C#N,1
C1=CC=C(C=C1)C#CC(=O)C2=CC=C(C=C2)[N+](=O)[O-],1
COC1=CC=C(C=C1)C2=NC(=C(C(=C2)C3=CC=CC=C3)C#N)S(=O)C,1
COC1=CC=C(C=C1)C2=NC(=C(C(=C2)C3=CC=CC=C3)C#N)S(=O)(=O)C,1
CC1=CC=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)CC2=CC=CC3=CC=CC=C32,1
CC(C)CN1C=NC2=C(C1=N)C(=C(N2CC3=CC=CO3)C4=CC=CC=C4)C5=CC=CC=C5,1
COC1=CC=C(C=C1)C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F,1
CC1=CC=C(C=C1)/C=C/C(=C/2\C3CC(N(C2=O)C)(OC4=CC=CC=C34)C)/O,1
COC(=O)C1=CC(=O)N(C(=NC2=CC(=C(C=C2)F)Cl)S1)CC3=CC4=C(C=C3)OCO4,1
C1=CC=C(C=C1)C#CC(=O)C2=CC(=CC=C2)[N+](=O)[O-],1
CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=NO)C=C(C=C3)OCCN(CC)CC.Cl,1
CC1CCC/C=C/C2CC(CC2C(/C=C/C(=O)O1)O)O,1
COC1=C(C=C(C=C1)CCN2C(=O)C=C(SC2=NC3=CC(=C(C=C3)F)Cl)C(=O)OC)OC,1
CS(=O)(=O)C1=C(C(=CC(=N1)C2=CC=C(C=C2)Br)C3=CC=CC=C3)C#N,1
CC(C)CNC(=O)C1=COC(=O)C(=C1)Br,1
CC1=CC(=C(N1CCOC)C)C2=NNC(=NC3=CC=CC=C3F)SC2,1
COC1=CC(=CC(=C1OC)OC)C(C[N+](=O)[O-])C2=C(C=C3N2C=CC=C3)C4=CC=CC=C4,1
C1=CC(=CC(=C1)F)OC2=C3C=CN=CC3=C(C=C2)[N+](=O)[O-],1
C1=CC(=CC(=C1)Br)OC2=C3C=CN=CC3=C(C=C2)[N+](=O)[O-],1
C1C/C(=C\C2=CC=C(C=C2)F)/C3=C(C1)C(N4C(=NC=N4)N3)C5=CC=C(C=C5)F,1
CCC1=CC=C(C=C1)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,1
CC1=CC=CC=C1N2C(=NN=N2)SC3=NN=NN3C4=CC=CC=C4,1
CC1=CC(=C(C=C1)C)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,1
COC1=C(C=CC(=C1)/C=C(\C2=NC3=CC=CC=C3N2)/C(=O)C4=CC=CS4)O,1
CC1=C(C(NC(=S)N1C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-],1
C1=CC=C2C(=C1)C(=O)C=C(O2)C3=C(C(=C(C(=C3F)F)F)F)F,1
C1CCC(C1)N(C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)N)C(=O)NC4=CC(=C(C=C4)Cl)Cl,1
CC1=CC(=O)OC2=C1C=CC(=C2C(=O)/C=C\C3=CC(=C(C=C3)OC)OC)O,1
CC1=C(C=C(C=C1)C2=C(SC(=N2)NC(=O)C3=NN(C=C3[N+](=O)[O-])C)C)C,1
COC1=CC=C(C=C1)C(=O)CN2C3=CC=CC=C3N=C2C(=O)/C=C/C4=CC=CC=C4,1
CCOC1=C(C=C(C=C1Br)CNC2=CC3=C(C=C2)OCCO3)OC,1
C1COCCN1CCCNC(=O)C2=CC=C(C=C2)N3C(=CC(=N3)C(F)(F)F)C4=CC=CS4,1
CCCCCCCSC1=C(C=C(C(=C1)OC)CCNC)OC.C(=C\C(=O)O)\C(=O)O,1
CC1=CC=C(C=C1)C(=O)CN2C3=CC=CC=C3N=C2C(=O)/C=C/C4=CC=CC=C4,1
CCOC1=C(C(=CC(=C1)/C=N/NC(=O)N)Br)OCC(=O)NC2=CC=CC=C2C,1
CCC(=O)NC1=CC=CC(=C1)C(=O)/C=C/C2=CC=CC=C2,1
C1CCC(=CC1)CCNC(=O)C2=COC(=O)C(=C2)Br,1
COC1=C(C=C2C[C@@H]3C4=C(C2=C1)C5=C(C=C4CCN3)OCO5)O,1
C1=CC=C2C(=C1)N=C(C3=NN=C(N23)C4=CC=C(C=C4)Cl)C(F)(F)F,1
CC1=CC(=C(C=C1)C)CSC2=NC3=CC(=C(C=C3C(=N)N2CC4=CC=C(C=C4)OC)OC)OC,1
C1=CC=C(C=C1)C(=O)C2=NN(C(=O)C=C2C(F)(F)F)C3=CC=C(C=C3)Cl,1
CCCSC(=S)NC1CCS(=O)(=O)C1,1
C1=CC=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC(=CC=C2)Cl,1
COC1=CC(=C(C=C1)OC)C(=O)/C=C/C2=CC=CC=C2C(F)(F)F,1
CCSC1=NC2=CC=CC=C2N1C(=O)/C=C\C3=CC(=C(C=C3)OC)OC,1
CCOC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=C(C=C3)Cl.Cl,1
COC1=CC=C(C=C1)OC2=C(C=NN(C2=O)C3=CC(=C(C=C3)Cl)Cl)Cl,1
CN(C)CCCNC(=O)C1=CC=C(C=C1)C2=NC(=CS2)C3=CC=C(C=C3)Cl,1
CC1=CC=CC=C1CSC2=NC3=CC(=C(C=C3C(=N)N2CC4=CC=C(C=C4)OC)OC)OC,1
C1=CC=C(C=C1)C2=NC(=C(N=N2)C(F)(F)F)SC3=CC=CC(=C3)C(F)(F)F,1
C1=CC=C(C=C1)C2=NC(=C(N=N2)C(F)(F)F)SC3=CC=CC=C3,1
C1=CC=C(C=C1)C2=NC(=C(N=N2)C(F)(F)F)SC3=CC=C(C=C3)F,1
CCOC1=C(C=CC(=C1)/C=C\[N+](=O)[O-])OCC(=O)NC2=CC=CC=C2C,1
COC1=C(C2=C(C=C1)C(OC2=O)NC3=NC(=CS3)C4=CC=CC=C4)OC,1
CC1=CC=C(C=C1)S(=O)(=O)C(=C(Cl)Cl)NC(=O)C2=CC=CC=C2,1
CCOC(=O)COC1=CC(=C(C=C1)/C=C/[N+](=O)[O-])OCC(=O)OCC,1
CCC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(NC2=O)C)C,1
CCOC1=CC=C(C2=CC=CC=C21)/C=C/[N+](=O)[O-],1
C1=CC=C(C=C1)NC(=S)NC2=NC3=CC=CC=C3N2CCOC4=CC=CC=C4,1
CC1=C(C2=C(O1)C=CC(=C2)N(C(=O)C)S(=O)(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C(=O)C,1
CC1=C(C=CC(=C1)C2(C3=CC=CC=C3NC2=O)C4=CC(=C(C=C4)O)C)O,1
C1=CC=C2C(=C1)N=C(S2)SC3=C(C=C(C=C3)S(=O)(=O)C(F)(F)F)[N+](=O)[O-],1
C1=CC=C(C(=C1)COC2=CC=C(C=C2)/C=N/N=C(N)N)Cl,1
CCC(CC)(C(=O)/C=C/C1=CC=C(C=C1)Br)C(=O)OCC,1
COC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=C(C=C3)Cl.Cl,1
COC1=C(C(=CC(=C1)CNC2CCCC2)Cl)OCC3=CC=CC=C3Cl.Cl,1
CCC1=CC=C(C=C1)OCC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC=C2C,1
CC(C)(C)C(=O)NC(=S)NNC(=O)C1=C(C2=CC=CC=C2S1)Cl,1
